REG_HOLD_RISK,FM_UNMET_NEED,CURRENT_BALANCE,LAST_GPA,PREV_GPA,WI_GRADE_COUNT,DFW_GRADE_COUNT,FIRST_GENERATION_RISK,HIGH_SCHOOL_GPA
0,13378,0,4,4,4,4,0,'0'
0,,0,4,4,0,0,0,''
0,,0,4,4,0,2,0,''
0,,0,4,4,0,0,0,''
0,0,169,3.811428571,4,0,0,1,''
0,,0,4,3.89,2,18,0,''
0,,0,3.67,3.33,0,0,0,''
0,4180,0,3.556666667,3.835,0,0,0,''
0,,0,4,4,0,0,0,''
0,,0,1,1,0,2,0,'0.00'
0,0,19.35,4,0,0,1,0,''
0,,0,2.33,2.83,2,4,0,''
1,,4087,0.223333333,1.223333333,22,24,0,'0.00'
0,,300,0,4,0,0,0,''
0,,180,4,4,0,0,0,'3.97'
0,,0,4,4,2,0,0,'0.00'
0,,0,4,4,0,0,0,'0.00'
1,8487.66,632.5,0.534,2.335,4,18,0,''
0,10678,193.5,2.835,3.223333333,0,1,0,'2.29'
0,,2929,0,4,1,0,0,'2.43'
0,176,0,1.67,0,2,0,1,'0.00'
0,0,0,3.89,4,0,0,0,''
0,,0,2,2,1,19,0,'0.00'
0,,0,3.335,3,1,7,0,'0.00'
0,,0,0,0,4,4,0,''
0,,0,3,0,6,8,0,'3.06'
0,,0,4,3,1,2,0,'2.86'
0,,0,2.81,2.94,1,1,0,''
1,,10258,0,0,12,0,0,''
0,,80,3.57,,0,0,0,'0.00'
0,,0,4,4,0,0,0,''
0,,0,4,3,0,0,0,'0.00'
0,,0,4,4,1,5,1,''
0,,0,3,3.67,0,4,0,'3.43'
0,,0,4,3.858571429,0,0,0,'0.00'
0,-4120,0,3.67,,0,0,0,''
0,1227,0,0,4,4,14,0,''
0,,0,4,4,0,0,0,''
0,,0,0,1,12,24,0,''
0,,0,3.67,3.33,0,0,1,''
0,,0,3,4,0,0,1,''
0,,0,0,0,0,0,0,''
0,12859.3,0,2.835,4,2,4,0,''
0,,0,4,4,0,0,0,''
0,,0,4,4,4,2,0,''
0,0,0,4,4,0,0,1,''
0,,0,3.44,2.39,1,0,0,'3.23'
0,748,0,4,3.5,0,0,0,''
0,,0,4,4,0,0,0,'3.15'
0,,0,,,0,0,0,''
0,1956,0,4,3.67,0,0,1,''
0,,0,4,4,0,0,0,''
0,,0,3.415,3.333333333,0,0,0,'1.89'
1,,634.98,2,2.5,2,10,0,''
1,,1629,0,0,6,12,0,''
0,,0,4,3.835,0,0,0,''
0,,0,2.33,2.732,3,8,0,''
0,1223,0,0,3.835,4,4,1,''
0,8219,0,3.5,3.835,1,0,1,''
0,0,0,,,0,0,1,''
0,,0,0,2.5,1,6,0,'3.29'
0,,0,4,3.5,1,0,0,''
0,,0,4,4,0,0,0,''
0,,0,4,4,0,0,0,''
0,,0,2.67,2,0,10,1,''
0,,0,4,4,0,0,0,''
0,12562,520.66,3.67,4,0,0,0,'3.04'
0,,0,3.67,4,0,0,0,''
0,10012,0,0,3.67,2,0,1,''
0,,0,4,4,0,0,0,''
0,,-0.67,4,4,0,0,0,'3.10'
0,,0,2.5,2.67,8,3,0,'2.90'
0,,0,4,4,0,0,0,''
0,,0,4,4,0,0,0,''
0,,0,4,4,0,0,0,''
0,,0,3.33,3,4,3,0,'2.66'
0,,0.15,4,4,1,1,0,''
0,243,0,0,4,0,0,0,'3.46'
0,0,0,4,3.835,1,0,1,''
0,,0,3.666666667,3.443333333,0,0,0,'2.61'
0,,0,0,4,1,0,0,''
0,,0,4,4,0,0,1,''
0,,0,4,4,0,0,0,''
0,,0,,,0,0,0,''
0,,0,4,4,0,0,0,''
0,13996,0,0,3.67,5,14,0,''
0,4139,-789,0,3.5,3,3,0,''
0,,0,4,4,0,0,0,''
0,,0,3.384615385,3.33,2,2,0,''
0,,0,4,4,3,3,0,''
0,8828,154.93,4,3.333333333,3,6,0,''
1,,515,3.835,4,0,0,0,''
0,,0,3.858571429,3.835,0,0,0,''
0,,0,4,3.835,2,3,1,''
1,,5266.4,1.4175,3.33,0,10,0,''
0,,0,4,4,0,0,0,'2.50'
0,,0,3.67,3,0,0,0,''
0,,0,1.5,3.666666667,0,1,0,''
0,,0,0,0,10,16,0,''
0,9760,1020.66,4,3.67,0,0,0,''
0,5814,0,0,3.571428571,0,0,0,''
0,,0,4,4,0,0,1,'0.00'
0,,0,4,4,0,0,0,''
0,,0,4,3.934,0,0,1,''
0,,0,4,4,0,0,0,''
1,,0,0,4,8,15,0,'2.40'
0,,0,4,3.67,0,0,0,''
0,,0,4,4,1,0,0,''
0,4297,0,4,3.402,6,1,0,'3.09'
0,,0,3.5,3.1,0,0,0,''
0,,15,0,3.553333333,0,0,0,''
0,,0,0,4,3,0,0,''
0,,0,3,4,1,1,0,''
0,,0,4,4,0,0,1,''
0,,0,4,3.67,0,0,1,''
0,0,0,4,4,0,0,1,''
0,,0,4,4,9,9,1,''
0,,0,4,4,0,0,0,'0.00'
0,,0,3.8,3.5,1,0,0,'3.38'
0,14286,689,3.67,4,0,0,0,''
0,,0,2.5,3,1,1,0,''
0,3499,0,3.64,3.58,5,6,0,'2.81'
0,,0,3.67,3.665,0,2,1,''
0,,281,4,4,0,0,0,''
0,,0,4,3.835,0,0,0,''
1,-750,0,0,,0,0,0,'2.95'
0,0,0,4,3.335,0,0,0,'3.49'
0,756,0,3.967,3.802,0,0,1,'2.69'
0,,0,0,4,1,2,0,'1.47'
0,,0,0,4,1,1,0,''
0,0,2322.33,4,3.555555556,2,0,0,''
1,,607,0,4,0,0,0,''
0,5870,0,3.5,4,0,4,0,'3.0'
1,18588,911,0,4,0,0,0,''
0,,0,0,3.67,0,0,1,'3.65'
0,4573,0,4,3.89,0,0,1,''
